구분,2020,2021,2022,2023
수거계,"195191","202791","203509","200903"
하우스용 LDPE,6,373,323,368
멀칭용 LDPE,"98233","101645","97886","98136"
HDPE,"96791","100611","105044","102342"
"기타(PVC, EVA, PO)",171,162,256,58
